Type,Name,Stat,Value
Entity,Entity,AvgTimeInSystem,91.5059
Entity,Entity,MaxTimeInSystem,507.5301
Entity,Entity,MinTimeInSystem,14.3909
Entity,Entity,NumberCreated,90.0
Entity,Entity,NumberDestroyed,74.0
Entity,Entity,NumberInSystem,90.0
Server,FinePitchFast,AvgTimeProcessing,9.0312
Server,FinePitchFast,NumberDowntimes,0.0
Server,FinePitchFast,NumberEntered,41.0
Server,FinePitchFast,NumberExited,40.0
Server,FinePitchFast,ScheduledUtilization,41.1439
Server,FinePitchFast,TotalDowntime,0.0
Server,FinePitchFast,TotalTimeProcessing,361.2498
Server,FinePitchFast,UnitsUtilized,370.2953
Server,FinePitchMedium,AvgTimeProcessing,19.9387
Server,FinePitchMedium,NumberDowntimes,0.0
Server,FinePitchMedium,NumberEntered,39.0
Server,FinePitchMedium,NumberExited,38.0
Server,FinePitchMedium,ScheduledUtilization,86.5272
Server,FinePitchMedium,TotalDowntime,0.0
Server,FinePitchMedium,TotalTimeProcessing,757.6712
Server,FinePitchMedium,UnitsUtilized,778.7451
Server,FinePitchSlow,AvgTimeProcessing,24.2253
Server,FinePitchSlow,NumberDowntimes,0.0
Server,FinePitchSlow,NumberEntered,33.0
Server,FinePitchSlow,NumberExited,32.0
Server,FinePitchSlow,ScheduledUtilization,88.7395
Server,FinePitchSlow,TotalDowntime,0.0
Server,FinePitchSlow,TotalTimeProcessing,775.2086
Server,FinePitchSlow,UnitsUtilized,798.6556
Server,Inspection,AvgTimeProcessing,2.9968
Server,Inspection,NumberDowntimes,0.0
Server,Inspection,NumberEntered,109.0
Server,Inspection,NumberExited,108.0
Server,Inspection,ScheduledUtilization,36.2781
Server,Inspection,TotalDowntime,0.0
Server,Inspection,TotalTimeProcessing,323.6519
Server,Inspection,UnitsUtilized,326.5028
Server,Placement,AvgTimeProcessing,3.9388
Server,Placement,NumberDowntimes,1.0
Server,Placement,NumberEntered,123.0
Server,Placement,NumberExited,123.0
Server,Placement,ScheduledUtilization,54.2925
Server,Placement,TotalDowntime,46.761
Server,Placement,TotalTimeProcessing,484.4704
Server,Placement,UnitsUtilized,488.6327
Server,Rework,AvgTimeProcessing,3.96
Server,Rework,NumberDowntimes,0.0
Server,Rework,NumberEntered,34.0
Server,Rework,NumberExited,34.0
Server,Rework,ScheduledUtilization,14.9599
Server,Rework,TotalDowntime,0.0
Server,Rework,TotalTimeProcessing,134.6391
Server,Rework,UnitsUtilized,134.6391
Sink,BadParts,AvgTimeInSystem,116.5052
Sink,BadParts,MaxTimeInSystem,366.3599
Sink,BadParts,MinTimeInSystem,14.3909
Sink,BadParts,NumberEntered,11.0
Sink,GoodParts,AvgTimeInSystem,87.1409
Sink,GoodParts,MaxTimeInSystem,507.5301
Sink,GoodParts,MinTimeInSystem,14.5831
Sink,GoodParts,NumberEntered,63.0
Source,PCB,NumberCreated,89.0
Source,PCB,NumberExited,0.0
